date,ACME,BOLT,CRUX,DYNE,ECHO,FLUX,GALE,HALO,IRIS,JOLT,KILN,LUMN,MKT
2021-02-01,99.33498076013605,99.33950125548097,99.68578889186227,98.20554007730034,98.44590588481341,98.53754229548043,97.52628223100972,99.69283226478275,98.93780908259582,99.08424719344828,99.2337038505558,99.0918289509504,396.898199124563
2021-02-02,100.23151016713412,101.16841728068988,100.29879931586609,99.28546451931743,101.29332657439132,101.43520490167943,100.57872023361654,102.27487183127948,101.36374108824278,101.11955205542982,101.73660561331299,101.33128682223955,404.47970266253225
2021-02-03,101.1493860782313,101.68412273608764,101.21706234187621,99.18263294686193,102.1429602922424,102.70729865647017,101.62469076045791,102.28285336719497,102.2244170209714,101.86736427530094,102.19640877980618,102.05322005013795,406.37232973962784
2021-02-04,100.32827124407876,100.30817192887405,99.21232826000119,98.48727233296448,101.06312002893256,101.56543281117874,100.26018538565697,100.34774196553266,100.86798116702896,100.18869303936468,102.49939960069676,101.48025925565125,400.7162768730175
2021-02-05,102.15492322122874,101.07340172896795,99.83124578579036,98.3241102184481,101.82295895315934,101.57726958259093,101.13685931526659,100.33561795914083,102.12516483785802,101.73424505262385,102.24567160110838,103.00409882547994,402.76613334062074
2021-02-08,102.0188006981169,101.3295082672024,98.85101489041527,98.4655508225215,100.63462663061706,101.02319715839995,101.83670468299539,98.21789071114716,102.79420099911403,101.81383453991566,101.06488808139744,102.57147917165055,401.401296018983
2021-02-09,102.75291215437844,102.59662318344192,100.99345438791556,101.50749526109351,103.43539227150143,102.57536236905753,102.94018305326975,100.07146932448737,104.4056914076031,104.15251103296148,102.45629495827527,105.07900268804447,408.40617011514803
2021-02-10,102.7724266181201,99.64300835479001,100.41805676769341,99.4480079452762,101.3220706363126,101.7330945209538,102.30656608352446,99.401974956827,104.04430554955873,103.561810613154,101.05296428773678,104.39799091132865,404.61850126855745
2021-02-11,99.89752012766118,97.95343461397061,96.97212000027916,96.20637748695201,98.50462210618596,101.33349742959372,99.18699451958811,97.48360750521992,101.29509353869696,102.62739754030316,100.30995530054192,101.44936542153617,396.5167175793502
2021-02-12,100.57958380919187,98.31088155025589,96.99637231965595,97.52431666773515,98.37593204555185,101.56257495652522,98.43298073023838,97.87538220549023,100.4105521310495,102.80864753952554,99.94372120471076,100.98729665451552,396.83108500128435
2021-02-15,99.33576675814658,98.34262168870708,95.92970940163414,97.50767883393118,97.76032327066704,101.56174405535498,98.67867948374915,97.44037151211525,99.70951871384891,102.6638489322099,99.06781383147242,100.17987773742074,395.6674785816972
2021-02-16,98.74779505408917,99.08893954708189,96.29426625973434,96.30878926350746,96.88006573122826,100.55412047460838,97.6031023578948,97.92489787736176,97.66236524958283,102.34873254308918,97.85272734070304,100.80186320126722,394.26314723134936
2021-02-17,97.44375053231849,97.33192998724705,93.69088615265775,94.11478158044517,95.2147262334849,99.18740930565677,95.96059960646357,96.21825098360019,96.59262463632999,100.80819429279195,95.79369035118219,99.69286010440693,386.74409464494096
2021-02-18,99.01498542131463,98.25821258747935,95.38233133967488,94.37267456249027,95.80313323346166,100.6877608240461,96.28530341074824,96.47972479290902,96.01735430445811,100.33409744651556,95.93010910459046,102.04385116949884,388.30703742890364
2021-02-19,101.7919857162481,99.49629246205065,98.1469907730842,95.98525471565893,98.51856340679352,101.5793750533717,96.38806592287091,99.22207923677165,97.05344222276025,101.44972415756732,98.9214819786331,104.03067837036603,394.2326441089826
2021-02-22,101.80741985840763,96.6524205135949,97.22220515090127,94.07318803929621,96.95378929568508,101.09385318067032,95.50366000793898,97.78633053255238,95.30777127061404,100.44434368796165,97.45042607154517,102.80895869931739,387.5380054357119
2021-02-23,102.68048357684513,99.36784146727085,99.39803635371423,94.91597208053754,98.14315807429224,102.1631978304768,97.29886350764974,97.14970123253654,97.45329970130156,101.18140191293092,100.73240131103918,103.11564078267857,391.7005562624854
